state,county,rgdp2012,rgdp2013,rgdp2014,rgdp2015
IL,Grundy,3029930,2800189,2765982,2793958
IL,Hamilton,149519,191692,225745,220610
IL,Hancock,406602,506051,459910,431176
IL,Hardin,88875,101469,99643,81182
IL,Henderson,130847,165254,141777,121677
IL,Henry,1263882,1396366,1398946,1365452
IL,Iroquois,843193,993722,932032,852505
IL,Jackson,2376037,2336846,2455117,2424261
IL,Jasper,521752,622479,592291,479784
IL,Jefferson,1662704,1506994,1451517,1455859
IL,Jersey,379421,408244,403956,424372
IL,Jo Daviess,742608,774933,782837,778625
IL,Johnson,200118,214534,212112,204498
IL,Kane,19740673,22387898,22754658,22814260
IL,Kankakee,4066623,3974504,3885126,3861672
IL,Kendall,2522487,2444319,2435572,2593569
IL,Knox,1809613,1908523,1838529,1746353
IL,Lake,52674944,54696021,57915401,60419332
IL,LaSalle,5004746,5061018,5199009,5109169
IL,Lawrence,450829,427904,435168,427897
IL,Lee,1186717,1380339,1415406,1391316
IL,Livingston,1402025,1531336,1496690,1415804
IL,Logan,873745,920380,888139,856299
IL,McDonough,1117091,1165779,1130130,1067789
IL,McHenry,9128138,9153529,9284128,9114277
IL,McLean,10594254,10779509,11646047,11913217
IL,Macon,6377758,6120550,6142874,5970073
IL,Macoupin,915726,984224,938703,894973
IL,Madison,9731724,9693256,10189487,9719458
IL,Marion,1141861,1161510,1125592,1064684
IL,Marshall,345707,363698,355873,329091
IL,Mason,460354,525025,488872,420895
IL,Massac,743321,730903,746274,652556
IL,Menard,204135,220045,219324,188956
IL,Mercer,310594,356992,314779,328771
IL,Monroe,743514,831787,822028,827195
IL,Montgomery,1088618,1144591,1096204,1008626
IL,Morgan,1197486,1267067,1269367,1221353
IL,Moultrie,891852,894972,1020190,802295
IL,Ogle,2565998,2693484,2679281,2665678
IL,Peoria,11891836,10944163,10832721,10932846
IL,Perry,553011,556148,593215,581830
IL,Piatt,364089,422095,396473,376827
IL,Pike,381273,501059,515643,509733
IL,Pope,65382,71141,59166,49328
IL,Pulaski,179352,188335,187883,180931
IL,Putnam,321069,298072,291574,281451
IL,Randolph,1475616,1537677,1476785,1434808
IL,Richland,493637,510381,493314,478865
IL,Rock Island,9959074,9769058,10192878,10190762
IL,St. Clair,9808778,9576452,9673139,9358250
IL,Saline,1030142,1029807,929831,849369
IL,Sangamon,9284597,9555516,9731076,9724366
IL,Schuyler,253873,269070,238341,217172
IL,Scott,112770,136466,120380,99587
IL,Shelby,498112,526196,472913,448406
IL,Stark,182996,216766,202997,218214
IL,Stephenson,1854813,1976350,1974632,1852971
IL,Tazewell,12567306,11051979,11799396,10220732
IL,Union,352888,358555,345353,329998
IL,Vermilion,2646468,2805195,2890613,2814908
IL,Wabash,287536,287611,278178,260117
IL,Warren,556250,641627,626768,616792
IL,Washington,638948,613474,611275,620364
IL,Wayne,424654,455655,427201,390321
IL,White,515700,559379,530905,503649
IL,Whiteside,2230495,2170846,2020593,1947759
IL,Will,23322081,24144995,25992764,26698182
IL,Williamson,2416626,2395546,2425529,2401998
IL,Winnebago,12387187,12142607,12602287,12432808
IL,Woodford,948580,1025399,1042413,959246
IN,Adams,1112408,1235257,1193857,1205122
IN,Allen,17062793,16694749,17885393,18353647
IN,Bartholomew,6015462,6116947,6053412,6150646
IN,Benton,326956,390186,370985,374459
IN,Blackford,233244,244193,249637,249957
IN,Boone,2270432,2364887,2426986,2531061
IN,Brown,210668,210051,206960,207560
IN,Carroll,486331,502693,478089,473147
IN,Cass,1107690,1152150,1154507,1106655
IN,Clark,3905610,3925659,4001171,3912987
IN,Clay,532899,570096,555234,570647
IN,Clinton,1037865,1079799,1056253,1002718
IN,Crawford,212532,205571,215065,214499
IN,Daviess,939563,990971,982497,969437
IN,Dearborn,1593957,1346567,1423289,1527437
IN,Decatur,1348787,1354536,1335835,1288629
IN,DeKalb,1998794,2153712,2183650,2307236
IN,Delaware,3665888,3681596,3782518,3865008
IN,Dubois,2151112,2243684,2341947,2305309
IN,Elkhart,9095843,9402076,9709342,9709406
IN,Fayette,488286,475255,467901,488518
IN,Floyd,2237372,2316379,2423875,2468755
IN,Fountain,513414,526275,485518,488082
IN,Franklin,404552,411038,438240,411606
IN,Fulton,575436,611842,602805,617560
IN,Gibson,2573386,2692870,2703870,2611455
IN,Grant,2465222,2437717,3004730,3225306
IN,Greene,487032,510809,552653,514752
IN,Hamilton,14749743,14339770,16135772,16331112
IN,Hancock,2010306,1976418,1956318,2067547
IN,Harrison,846605,847263,845686,833259
IN,Hendricks,4738470,4984604,5506502,5725389
IN,Henry,910969,934123,955183,956000
IN,Howard,4392839,4923503,5326707,5348118
IN,Huntington,1150254,1200431,1211857,1212567
IN,Jackson,1856916,1907436,1876581,2166119
IN,Jasper,1256852,1411421,1361573,1274709
IN,Jay,723583,778087,724686,687413
IN,Jefferson,1242686,1262976,1302304,1337617
IN,Jennings,564360,571486,569120,612085
IN,Johnson,3942772,3884595,4006164,4192069
IN,Knox,1580320,1643648,1688927,1722614
IN,Kosciusko,4526907,4028991,4284386,4384213
IN,Lagrange,927891,994752,1003031,990321
IN,Lake,21592154,22037655,22597883,21730664
IN,LaPorte,3798646,3863552,3842543,3700494
IN,Lawrence,968704,1115417,1213843,1323353
IN,Madison,3041373,3021258,3073010,3034586
IN,Marion,81150830,84974590,85892371,82303588
IN,Marshall,1402827,1488113,1575200,1561863
IN,Martin,870003,830053,865239,991737
IN,Miami,741633,778707,743865,747982
IN,Monroe,5359149,5451783,5714127,5743554
IN,Montgomery,1361394,1451193,1421031,1461590
IN,Morgan,1270110,1263032,1300092,1298328
IN,Newton,358599,391138,395793,407252
IN,Noble,1527937,1567052,1636305,1615667
IN,Ohio,115850,74676,75360,75570
IN,Orange,581462,582708,584645,586318
IN,Owen,392248,345971,364049,377874
IN,Parke,233686,249316,249600,244317
IN,Perry,595418,606501,588385,620907
IN,Pike,793569,921583,901114,719601
IN,Porter,5883797,5886207,5755246,5874672
IN,Posey,2047514,1769141,2406196,2199503
IN,Pulaski,501225,503663,496052,494225
IN,Putnam,840105,871764,877472,891233
IN,Randolph,667966,717886,690252,680706
IN,Ripley,1061248,1042056,1101501,1208891
IN,Rush,420490,462078,457296,450821
IN,St. Joseph,11789460,11691399,12048176,11629104
IN,Scott,525240,496669,500210,501243
IN,Shelby,1535550,1669362,1754529,1860182
IN,Spencer,1357983,1278148,1244049,1099924
IN,Starke,330007,367084,373572,368342
IN,Steuben,1121927,1132316,1183219,1235612
IN,Sullivan,895277,987885,987390,877999
IN,Switzerland,231152,191950,186232,179677
IN,Tippecanoe,7531123,7454442,7756329,7841538
IN,Tipton,376815,434101,455797,470406
IN,Union,117264,122852,114645,109540
IN,Vanderburgh,10386616,10540791,10949225,10866085
IN,Vermillion,718900,789870,699378,662959
IN,Vigo,4089053,4132053,4161959,4269676
IN,Wabash,923558,990093,1019041,973952
IN,Warren,201679,219513,224300,231068
IN,Warrick,1869702,1888016,1836676,1864632
IN,Washington,499900,542040,521888,522764
IN,Wayne,2330837,2364707,2405659,2403399
IN,Wells,947846,996094,915607,911637
IN,White,772174,832895,861148,860356
IN,Whitley,947733,987492,1011769,1083091
IA,Adair,299503,337589,322251,328210
IA,Adams,167870,153416,178923,223981
IA,Allamakee,498401,464181,467963,444637
IA,Appanoose,320202,308244,315321,314498
IA,Audubon,221708,234781,247906,239127
IA,Benton,604897,623195,617099,617530
IA,Black Hawk,8159572,7216922,8093107,7618129
IA,Boone,910602,949319,972116,941789
IA,Bremer,1002733,987910,1091075,1093701
IA,Buchanan,610956,613922,620353,602945
IA,Buena Vista,1088226,1090147,1032709,1015752
IA,Butler,456106,465651,492654,495848
IA,Calhoun,335853,343022,334787,336415
IA,Carroll,1075166,1135015,1156499,1225924
IA,Cass,561049,585056,605659,618722
IA,Cedar,516865,536505,528523,524204
IA,Cerro Gordo,2027631,2002232,1980076,2000548
IA,Cherokee,542259,626761,683900,697186
IA,Chickasaw,500923,539635,564909,581225
IA,Clarke,333218,350911,357550,383972
IA,Clay,849521,890178,811795,790346
IA,Clayton,611309,642332,674806,683314
IA,Clinton,2017087,2176894,2204819,2234207
IA,Crawford,695353,736646,704251,688307
IA,Dallas,4111570,4052774,4750146,5235828
IA,Davis,178091,185395,188812,194638
IA,Decatur,170590,163649,171095,179743
IA,Delaware,689563,751772,745651,730198
IA,Des Moines,1726603,1819988,1930450,2001736
IA,Dickinson,832985,770387,791264,822271
IA,Dubuque,5087690,4886742,5015258,5187629
IA,Emmet,426276,407032,415293,395836
IA,Fayette,661147,662922,666578,645944
IA,Floyd,543824,640615,643227,617853
IA,Franklin,503780,533987,570636,545655
IA,Fremont,297098,281905,274811,258120
IA,Greene,409084,427345,427262,415895
IA,Grundy,457183,457330,469470,489436
IA,Guthrie,384740,403572,393522,374642
IA,Hamilton,613676,659471,640125,640288
IA,Hancock,747936,747101,763715,717658
IA,Hardin,781122,803067,797380,793382
IA,Harrison,442706,463667,496335,498563
IA,Henry,759063,762291,755876,750560
IA,Howard,395611,405324,394330,379002
IA,Humboldt,385897,393760,403644,392165
IA,Ida,387856,400095,398750,388312
IA,Iowa,838928,842877,809054,781418
IA,Jackson,494506,500535,510226,507856
IA,Jasper,955204,937123,952407,904212
IA,Jefferson,595037,597033,595489,606344
IA,Johnson,7620367,8036226,8407101,8474956
IA,Jones,558583,569657,584374,568186
IA,Keokuk,252657,260073,257594,245044
IA,Kossuth,840389,907577,992555,1045195
IA,Lee,1593636,1651689,1755235,1779533
IA,Linn,16089378,15265933,15996000,16451884
IA,Louisa,560733,526972,495165,433691
IA,Lucas,245219,253288,251089,246473
IA,Lyon,631009,757706,844997,926002
IA,Madison,308083,310244,314744,327478
IA,Mahaska,709971,739321,719689,741164
IA,Marion,1386888,1366557,1416248,1443902
IA,Marshall,1641025,1591421,1589648,1587657
IA,Mills,397547,398721,417781,455139
IA,Mitchell,450743,478360,496147,494402
IA,Monona,255291,258656,257280,252276
IA,Monroe,352007,360881,371808,397579
IA,Montgomery,353770,373486,378350,387386
IA,Muscatine,2160047,2292237,2316059,2274666
IA,O'Brien,623605,679212,692679,722367
IA,Osceola,323584,356168,356103,360476
IA,Page,505266,525074,534688,496858
IA,Palo Alto,434695,464540,461526,461471
IA,Plymouth,1118006,1207629,1202739,1211601
IA,Pocahontas,386577,403291,435278,409178
IA,Polk,34898626,33973186,37261973,39389224
IA,Pottawattamie,3856740,3998203,4144461,4324018
IA,Poweshiek,923779,925874,977589,1019631
IA,Ringgold,136963,149551,145617,147847
IA,Sac,433627,446907,436210,438200
IA,Scott,8227475,7957507,8306401,8240333
IA,Shelby,679655,681191,816948,799365
IA,Sioux,1969452,2105889,2192026,2298140
IA,Story,4268295,4649379,4931723,4898436
IA,Tama,464350,477461,464940,477284
IA,Taylor,191848,196303,189067,178773
IA,Union,524549,528219,536240,534101
IA,Van Buren,224716,206188,226300,213168
IA,Wapello,1380815,1366691,1378310,1457463
IA,Warren,876292,843327,875313,872691
IA,Washington,858278,893799,934760,947865
IA,Wayne,181310,181967,181550,178845
IA,Webster,2187664,2136398,1925928,2043181
IA,Winnebago,416362,434162,437414,431955
IA,Winneshiek,831578,827412,831977,848883
IA,Woodbury,4716108,4698075,4814825,4950488
IA,Worth,276394,328621,388832,380351
IA,Wright,642063,623781,735093,717770
KS,Allen,464993,455970,428437,421319
KS,Anderson,184893,189806,178815,177944
KS,Atchison,462352,437442,458188,465193
KS,Barber,190275,210829,195906,184514
KS,Barton,1214307,1201331,1263241,1207594
KS,Bourbon,454606,471245,471967,478531
KS,Brown,407244,437567,420266,405237
KS,Butler,1538291,1599391,1545827,1579974
KS,Chase,96755,94967,101718,104180
KS,Chautauqua,72401,76785,78318,74967
KS,Cherokee,470721,457545,441443,438633
KS,Cheyenne,96110,112485,102671,105128
KS,Clark,82447,91103,80904,73127
KS,Clay,239645,253759,241168,232888
KS,Cloud,376928,306907,299504,297386
KS,Coffey,781872,750042,746161,728911
KS,Comanche,52009,58151,58989,54040
KS,Cowley,1079168,1020370,1017949,1005200
KS,Crawford,1270200,1234862,1216880,1223149
KS,Decatur,94201,102741,101568,98910
KS,Dickinson,581520,600605,585035,571774
KS,Doniphan,201829,207283,197121,186220
KS,Douglas,3970883,4047613,4143378,4198350
KS,Edwards,129835,140175,136089,146759
KS,Elk,97034,103954,94002,89228
KS,Ellis,1303196,1419781,1517371,1563481
KS,Ellsworth,216102,258060,256571,246075
KS,Finney,1759326,1840452,1790464,1766504
KS,Ford,1586993,1537534,1470947,1479926
KS,Franklin,804667,820492,808588,803033
KS,Geary,3085606,2903599,2885420,2969662
KS,Gove,185780,198047,183813,215385
KS,Graham,92865,112025,115545,107810
KS,Grant,571311,663341,563290,596843
KS,Gray,490752,535816,447816,432125
KS,Greeley,79082,84232,74845,71857
KS,Greenwood,142855,154419,147340,138792
KS,Hamilton,166059,171369,142516,138916
KS,Harper,296881,372642,352518,347665
KS,Harvey,1018359,1112220,1098908,1086587
KS,Haskell,400675,486500,409958,414700
KS,Hodgeman,86880,107561,96732,95197
KS,Jackson,268583,296858,284176,293230
KS,Jefferson,269697,290807,289324,298111
KS,Jewell,93955,111945,99749,100335
KS,Johnson,39510379,40861732,41994254,42093923
KS,Kearny,181866,229363,185819,184739
KS,Kingman,243079,255190,227002,222777
KS,Kiowa,108263,133856,122237,134729
KS,Labette,713996,737160,751499,762541
KS,Lane,105774,126320,112350,105218
KS,Leavenworth,2564428,2539740,2594055,2662259
KS,Lincoln,117523,124073,115862,109725
KS,Linn,582393,521158,508209,474549
KS,Logan,113219,120938,112239,107798
KS,Lyon,1201290,1165428,1172200,1158891
KS,McPherson,1404845,1369258,1295565,1343427
KS,Marion,328924,338150,284921,285736
KS,Marshall,619559,573139,514709,476579
KS,Meade,184396,241483,225952,236445
KS,Miami,659740,676987,670763,691636
KS,Mitchell,272867,308478,289199,274417
KS,Montgomery,1313619,1287058,1256317,1169518
KS,Morris,136957,146263,146743,145942
KS,Morton,142402,153505,149510,135470
KS,Nemaha,418814,468106,474285,483461
KS,Neosho,489917,478226,442312,417509
KS,Ness,126363,133708,138025,121068
KS,Norton,219896,248699,237834,231833
KS,Osage,213512,229521,214409,206819
KS,Osborne,125165,122584,113765,110061
KS,Ottawa,114785,130716,119737,119380
KS,Pawnee,300065,323346,281879,262958
KS,Phillips,224289,270194,257420,273945
KS,Pottawatomie,1233942,1294570,1193515,1233490
KS,Pratt,436411,475495,466244,439999
KS,Rawlins,108699,117760,114170,116894
KS,Reno,1976522,2089551,2100157,2085597
KS,Republic,178313,197994,174589,168006
KS,Rice,365248,390400,357522,370657
KS,Riley,2364084,2370507,2400547,2404952
KS,Rooks,186214,199449,200147,184370
KS,Rush,118279,124407,116164,109021
KS,Russell,264491,295539,287194,288169
KS,Saline,2339010,2338710,2406388,2464527
KS,Scott,398786,459512,361851,326157
KS,Sedgwick,25498577,23627772,24877336,26029309
KS,Seward,1107594,1173859,1257707,1221947
KS,Shawnee,8879036,8591934,8447919,8344022
KS,Sheridan,165339,199618,169253,183291
KS,Sherman,235359,259002,247000,243389
KS,Smith,127830,139632,131874,125180
KS,Stafford,169952,177769,167186,162466
KS,Stanton,120378,141817,121758,131124
KS,Stevens,233596,326134,288826,270888
KS,Sumner,608166,606173,601533,613660
KS,Thomas,389267,423266,393868,395197
KS,Trego,110206,115205,119982,112393
KS,Wabaunsee,112332,122236,119658,124943
KS,Wallace,69419,81774,76920,76591
KS,Washington,177496,198010,169924,167601
KS,Wichita,191925,237608,206205,205244
KS,Wilson,273463,254765,254602,254397
KS,Woodson,66867,70871,64282,63318
KS,Wyandotte,11702529,10931639,12632779,13363134
KY,Adair,329008,341666,323692,330281
KY,Allen,341657,438431,405636,367786
KY,Anderson,428193,444072,414524,402408
KY,Ballard,282493,266411,266531,252108
KY,Barren,1317471,1261823,1214312,1153252
KY,Bath,121554,131689,126748,131427
KY,Bell,741400,710409,660520,592097
KY,Boone,7591595,7516378,7411559,7515562
KY,Bourbon,652010,650326,616665,580805
KY,Boyd,3827203,4800138,4202264,4053516
KY,Boyle,1091745,1056046,1012082,1030486
KY,Bracken,109960,104704,105054,100652
KY,Breathitt,219384,216521,203692,198438
KY,Breckinridge,307274,342795,325469,334916
KY,Bullitt,1765872,1866296,1842695,1900318
KY,Butler,239617,274120,259478,304985
KY,Caldwell,293795,304362,291661,292557
KY,Calloway,1188368,1189870,1183178,1167327
KY,Campbell,2619070,2592551,2604892,2519663
KY,Carlisle,147992,161327,169647,167548
KY,Carroll,981719,1100086,1035028,1008931
KY,Carter,422820,418593,397027,383767
KY,Casey,242439,254899,252979,263986
KY,Christian,5840117,5678318,5600973,5544119
KY,Clark,1120736,1140066,1120239,1111840
KY,Clay,291993,282455,287102,283574
KY,Clinton,274153,290135,267175,257941
KY,Crittenden,148250,166988,167998,177256
KY,Cumberland,110017,114204,108343,114576
KY,Daviess,4012293,4125167,4034319,3985377
KY,Edmonson,114193,122532,118403,118510
KY,Elliott,52964,56322,50793,56428
KY,Estill,175799,169648,157128,160367
KY,Fayette,18104313,18538764,18722853,19430193
KY,Fleming,251852,266451,252031,254936
KY,Floyd,1100991,1029203,989609,971001
KY,Franklin,2893490,2905466,3585142,3973452
KY,Fulton,206404,213033,205387,206876
KY,Gallatin,268260,323107,355144,392058
KY,Garrard,185219,198573,189137,189218
KY,Grant,402925,411503,422054,457480
KY,Graves,979226,1042588,981719,998208
KY,Grayson,553654,571768,585072,608255
KY,Green,132930,149201,141416,138350
KY,Greenup,714143,719513,678893,647259
KY,Hancock,723516,861035,840005,893877
KY,Hardin,5146909,4996598,4808029,4679111
KY,Harlan,829194,763282,705821,608490
KY,Harrison,423927,411038,411520,411593
KY,Hart,375181,411367,422275,434084
KY,Henderson,1984167,1981934,1981452,1947974
KY,Henry,297802,338147,355085,383230
KY,Hickman,114859,172147,146044,161484
KY,Hopkins,1654142,1650353,1625442,1576064
KY,Jackson,149707,148150,141609,127966
KY,Jefferson,47481141,48093356,49008767,49366058
KY,Jessamine,1328016,1386683,1442485,1359574
KY,Johnson,436799,432532,428159,397202
KY,Kenton,6583176,6408222,6474719,6126372
KY,Knott,305389,223939,215991,204996
KY,Knox,546402,508494,496100,476436
KY,Larue,181421,192333,182649,178765
KY,Laurel,1893250,1914834,1971614,1978120
KY,Lawrence,345150,336795,369613,330822
KY,Lee,113249,117631,111885,112251
KY,Leslie,205878,179883,136024,133052
KY,Letcher,459775,365633,364078,332119
KY,Lewis,146708,158097,146656,150654
KY,Lincoln,361196,359183,356536,376205
KY,Livingston,253769,317458,356402,385456
KY,Logan,943917,1021946,1026354,1131246
KY,Lyon,157885,164073,174798,164846
KY,McCracken,3572186,3618408,3531218,3475795
KY,McCreary,189794,189319,193331,200369
KY,McLean,168659,229575,216745,248626
KY,Madison,2536169,2551664,2521730,2514473
KY,Magoffin,149822,147280,138819,124506
KY,Marion,627368,644083,635367,631474
KY,Marshall,1148308,1177848,1096732,1022909
KY,Martin,371055,472513,372487,375851
KY,Mason,912196,911550,941574,830348
KY,Meade,405503,439973,417760,420696
KY,Menifee,61018,60767,59091,58237
KY,Mercer,751427,758166,787732,851342
KY,Metcalfe,160576,166336,161771,161501
KY,Monroe,211942,229551,214490,222780
KY,Montgomery,846585,852873,857760,880307
KY,Morgan,227155,233252,224863,219756
KY,Muhlenberg,1396858,1401231,1451026,1337672
KY,Nelson,1341935,1411079,1462447,1452138
KY,Nicholas,70719,75361,74995,75085
KY,Ohio,625279,665257,641288,649983
KY,Oldham,1300923,1354170,1350215,1386627
KY,Owen,154843,153716,165559,161168
KY,Owsley,39719,41130,35932,41668
KY,Pendleton,309981,330802,326993,318832
KY,Perry,1266688,1208695,1174857,1124016
KY,Pike,2434152,2372802,2592153,2685291
KY,Powell,177213,180235,188060,196645
KY,Pulaski,1887009,1914157,1925153,1954367
KY,Robertson,19574,19937,17273,17082
KY,Rockcastle,213584,217054,214051,210695
KY,Rowan,679341,669984,632531,607835
KY,Russell,471578,481917,467552,457020
KY,Scott,2147424,2197814,2246982,2400143
KY,Shelby,1282373,1372822,1382506,1388280
KY,Simpson,764481,782508,814635,802779
KY,Spencer,167960,184866,176406,187757
KY,Taylor,675114,692491,709913,734301
KY,Todd,244602,289512,271190,280374
KY,Trigg,244265,261568,275963,272447
KY,Trimble,338504,337854,325455,361801
KY,Union,833350,791955,776852,627684
KY,Warren,5134489,5154120,5235296,5357068
KY,Washington,298903,274747,267784,272598
KY,Wayne,309910,315901,310188,308301
KY,Webster,549952,629169,619609,600483
KY,Whitley,1038101,1125878,1280572,1546481
KY,Wolfe,75947,84113,69975,72798
KY,Woodford,828696,868034,804746,796835
LA,Acadia,1609909,1498562,1491290,1486905
LA,Allen,588186,582885,568513,565218
LA,Ascension,9786048,8759877,8601173,8133167
LA,Assumption,480533,525279,447066,395370
LA,Avoyelles,836437,823565,802982,786298
LA,Beauregard,879552,843452,799318,815508
LA,Bienville,500178,462205,405812,394645
LA,Bossier,4725332,4900715,5238010,5427016
LA,Caddo,14431406,15036095,14771395,15273771
LA,Calcasieu,12674160,11391242,11740793,12202977
LA,Caldwell,171824,165770,165808,166862
LA,Cameron,489913,526723,880235,1031591
LA,Catahoula,198109,220258,217366,215640
LA,Claiborne,466659,442204,404205,399491
LA,Concordia,532591,544481,536334,496117
LA,De Soto,883282,877249,828809,864271
LA,East Baton Rouge,33257993,32202041,34129285,32473672
LA,East Carroll,206399,229155,205813,185160
LA,East Feliciana,380177,370068,358194,355504
LA,Evangeline,712343,679174,673729,695041
LA,Franklin,398142,397312,379988,377218
LA,Grant,278913,280670,274249,264030
LA,Iberia,3664220,3628325,3517576,3391584
LA,Iberville,2122401,2028086,2028076,2028356
LA,Jackson,388347,390343,402590,383021
LA,Jefferson,21195993,20755214,20383507,20712514
LA,Jefferson Davis,814496,801830,777487,783898
LA,Lafayette,18011713,17408848,16917988,15958959
LA,Lafourche,4517341,4465519,4454718,4008414
LA,LaSalle,445091,429354,379260,336729
LA,Lincoln,1432312,1436775,1484221,1565050
LA,Livingston,2106803,2153116,2073019,2242976
LA,Madison,438543,393142,412508,417195
LA,Morehouse,568860,547760,508611,458339
LA,Natchitoches,1081770,1084765,1061244,1242591
LA,Orleans,22929445,21400721,21345495,21833968
LA,Ouachita,6426639,6453941,6842244,7459936
LA,Plaquemines,3686542,3376670,3570189,3368975
LA,Pointe Coupee,1035614,1013633,1030706,846066
LA,Rapides,5102509,5108817,4971276,4867958
LA,Red River,345052,281626,244005,243000
LA,Richland,521638,527758,510419,521558
LA,Sabine,498207,494466,458489,443470
LA,St. Bernard,1073135,1152702,1063327,1041355
LA,St. Charles,7285044,6206810,8042639,8658866
LA,St. Helena,126035,123462,127998,122129
LA,St. James,2787612,2873856,3016997,2884709
LA,St. John the Baptist,3154009,3193965,3358496,3399282
LA,St. Landry,3683250,4179975,3764458,3320114
LA,St. Martin,1375418,1485896,1514663,1553357
LA,St. Mary,3160836,2977767,2920570,2753042
LA,St. Tammany,8605272,8532669,10510731,11688922
LA,Tangipahoa,3526412,3419631,3550309,3521635
LA,Tensas,137489,136259,118937,113646
LA,Terrebonne,6261741,6112440,6187632,6102986
LA,Union,405448,425315,426603,433969
LA,Vermilion,1857595,1536842,1532091,1525771
LA,Vernon,2167581,2104903,1912901,1878274
LA,Washington,905688,890789,968036,989986
LA,Webster,1323804,1186841,1126801,1024331
LA,West Baton Rouge,2414507,2484238,3069604,3113445
LA,West Carroll,184060,178972,164215,159909
LA,West Feliciana,860697,914927,888769,806823
LA,Winn,505838,523327,471899,475557
ME,Androscoggin,3787310,3806513,3891591,3898178
ME,Aroostook,2252312,2185562,2188987,2253718
ME,Cumberland,18833265,18912736,19542565,19462679
ME,Franklin,950545,921260,897474,884411
ME,Hancock,1936882,1925128,1892679,1887800
ME,Kennebec,4387082,4498655,4657128,4617372
ME,Knox,1345908,1395700,1392017,1423605
ME,Lincoln,803477,833815,826308,837177
ME,Oxford,1485936,1494444,1565872,1458099
ME,Penobscot,5662307,5502508,5571981,5669801
ME,Piscataquis,388881,387467,408323,426743
ME,Sagadahoc,1327622,1153037,1192165,1247890
ME,Somerset,1465880,1468111,1425247,1440555
ME,Waldo,864665,882565,828907,823363
ME,Washington,832066,778412,775390,782607
ME,York,6549822,6359019,6362842,6523552
MD,Allegany,2351556,2321238,2188500,2154969
MD,Anne Arundel,37908201,39447670,40409443,41716361
MD,Baltimore,50729494,45394574,44925401,46190794
MD,Calvert,4144486,4243074,4088649,4478536
MD,Caroline,851914,871351,888522,944384
MD,Carroll,4990170,5089176,5020354,4999981
MD,Cecil,3030009,3055962,3085108,3281361
MD,Charles,4547055,4569579,4804629,4713803
MD,Dorchester,977314,999068,1041241,1017496
MD,Frederick,10487679,10897546,11661842,12201049
MD,Garrett,996718,1066170,1090279,1087929
MD,Harford,9949727,10280455,10381396,10575020
MD,Howard,21505356,21638526,22299450,22401673
MD,Kent,706353,705572,673648,682698
MD,Montgomery,84141291,85114436,86051662,86619320
MD,Prince George's,34894032,35011282,35751234,36276563
MD,Queen Anne's,1263358,1341505,1341434,1343622
MD,St. Mary's,6007989,6187543,6333880,6372906
MD,Somerset,624895,684045,737606,725810
MD,Talbot,1790005,1817362,1904982,2039011
MD,Washington,5732937,6026964,6672383,7271712
MD,Wicomico,3768846,3948412,4069146,4200138
MD,Worcester,2009769,2060156,2112203,2165954
MD,Baltimore City,41412489,42170158,41197042,41051347
MA,Barnstable,9062177,9265158,9203438,9387987
MA,Berkshire,5453284,5935679,6274079,6175142
MA,Bristol,19933305,20176275,20177816,21039353
MA,Dukes,874713,963062,939162,973644
MA,Essex,33445582,34171210,35136591,37238564
MA,Franklin,2075952,2156048,2117743,2159514
MA,Hampden,18705998,18648748,18677370,19340295
MA,Hampshire,5618171,5594384,5615633,5699287
MA,Middlesex,134351629,135198930,135878682,141124545
MA,Nantucket,802370,1031003,1116569,1090043
MA,Norfolk,43713091,45754317,46640159,47973190
MA,Plymouth,17760752,18202410,18916962,19565066
MA,Suffolk,118681169,114166501,118579770,123251701
MA,Worcester,33851572,33622217,34177891,34858350
MI,Alcona,130675,144452,130519,128842
MI,Alger,199980,232138,229905,225073
MI,Allegan,3647106,3623737,3604193,3818666
MI,Alpena,917173,926488,917673,928906
MI,Antrim,426317,419806,408905,410271
MI,Arenac,316209,317073,319303,321299
MI,Baraga,237794,233307,225134,222420
MI,Barry,1137034,1235794,1290273,1303780
MI,Bay,3343898,3406133,3315446,3325191
MI,Benzie,292767,291059,284087,289034
MI,Berrien,6429589,6475903,6553362,6520075
MI,Branch,1111826,1084995,1084656,1094472
MI,Calhoun,5325218,5547289,5566575,5614629
MI,Cass,810968,813389,814987,829205
MI,Charlevoix,954081,989684,1003195,1113571
MI,Cheboygan,463400,468438,486448,469164
MI,Chippewa,1016118,1001190,888687,910618
MI,Clare,680253,668476,687457,675195
MI,Clinton,1583877,1565513,1598570,1616118
MI,Crawford,306017,306676,297621,313128
MI,Delta,1069305,1095776,1081616,1050160
MI,Dickinson,1160470,1181304,1161875,1112671
MI,Eaton,3498159,3564402,3675936,3823811
MI,Emmet,1505920,1523243,1494744,1544134
MI,Genesee,11645065,12302730,12300578,12548554
MI,Gladwin,337000,353487,375083,343122
MI,Gogebic,365596,373056,373678,380564
MI,Grand Traverse,4310871,4372412,4445394,4705937
MI,Gratiot,1145132,1171471,1166996,1217296
MI,Hillsdale,1175532,1206853,1196382,1308407
MI,Houghton,936316,1010665,1062589,1112437
MI,Huron,1201355,1243169,1223574,1268089
MI,Ingham,13602604,13202068,13742097,14082361
MI,Ionia,1543265,1393232,1296053,1265178
MI,Iosco,553608,541005,527530,539593
MI,Iron,249205,250079,249115,251581
MI,Isabella,2143643,2133024,2143929,2182228
