state,county,rgdp2012,rgdp2013,rgdp2014,rgdp2015
AR,Garland,2934315,2784319,2794066,2842955
AR,Grant,303900,315461,324478,320914
AR,Greene,1158505,1169549,1140782,1201211
AR,Hempstead,664534,755263,753608,695263
AR,Hot Spring,781325,758115,683283,767912
AR,Howard,494267,543935,521220,493600
AR,Independence,1445838,1527817,1484872,1268347
AR,Izard,246718,241988,241395,225583
AR,Jackson,471583,471857,475806,442991
AR,Jefferson,3002468,3043082,2908723,2690860
AR,Johnson,578655,614614,611698,616828
AR,Lafayette,122883,141000,147550,196773
AR,Lawrence,313636,328859,336843,328538
AR,Lee,174313,198645,199693,193148
AR,Lincoln,234512,260187,250005,238328
AR,Little River,498522,447421,405003,341070
AR,Logan,429941,452612,445793,470654
AR,Lonoke,1036485,1095396,1096706,1088023
AR,Madison,270693,313479,307479,304949
AR,Marion,383695,372094,371573,463015
AR,Miller,1199015,1094349,1056730,1018412
AR,Mississippi,2155097,2041285,1921226,1892619
AR,Monroe,216154,221146,212882,211338
AR,Montgomery,113913,117764,115567,110254
AR,Nevada,214488,220837,229243,234504
AR,Newton,73313,78457,80130,75839
AR,Ouachita,598731,608848,649798,636431
AR,Perry,101627,103902,96824,105132
AR,Phillips,468293,498849,482883,459991
AR,Pike,201756,214706,213964,207749
AR,Poinsett,521451,533243,543437,543284
AR,Polk,415129,420688,412677,398258
AR,Pope,2503731,2539738,2619674,2770358
AR,Prairie,140058,154004,156725,149351
AR,Pulaski,26338703,26907905,26961899,27484845
AR,Randolph,318848,336254,339476,330982
AR,St. Francis,638792,656650,644173,641229
AR,Saline,1840987,1883318,1876944,1967858
AR,Scott,196991,226630,209303,195058
AR,Searcy,109258,105326,100431,91605
AR,Sebastian,6453074,6454771,6519353,6221658
AR,Sevier,353522,386944,378878,366862
AR,Sharp,255063,260770,256418,252240
AR,Stone,176225,180255,187434,195974
AR,Union,3025342,3323325,3567763,2815907
AR,Van Buren,383114,408442,485182,768339
AR,Washington,9630946,10022776,10068527,10514117
AR,White,2208213,2118014,2131555,2184607
AR,Woodruff,171906,174357,166812,164189
AR,Yell,473010,549704,474537,451027
CA,Alameda,93795276,97646410,102214628,106058748
CA,Alpine,91253,80465,80855,97842
CA,Amador,1106242,1155937,1151793,1227219
CA,Butte,6399648,6647096,6631987,7035257
CA,Calaveras,771457,786451,739709,774564
CA,Colusa,1133356,1162047,1193557,1369343
CA,Contra Costa,62121185,63638925,69050124,73101768
CA,Del Norte,599490,590815,576393,602992
CA,El Dorado,5524161,5558227,5892735,6205471
CA,Fresno,33775353,35821729,37248432,39293696
CA,Glenn,806251,875717,945856,1008700
CA,Humboldt,3846207,3911804,3949695,4028873
CA,Imperial,5696268,5903167,6311204,6654586
CA,Inyo,910652,876413,857373,859144
CA,Kern,39340854,40163210,42169380,43532130
CA,Kings,5078462,5147671,5526064,5715967
CA,Lake,1337816,1368058,1394350,1437404
CA,Lassen,989373,984980,1012903,1060366
CA,Los Angeles,593671075,605923302,630438094,656048822
CA,Madera,4438122,4599266,4996808,5320912
CA,Marin,17934235,18144438,19394896,19692563
CA,Mariposa,445506,429820,428409,433494
CA,Mendocino,2481677,2524118,2530707,2608117
CA,Merced,6707751,7096096,7746182,7863092
CA,Modoc,212855,219035,226726,233087
CA,Mono,662764,675265,673495,658764
CA,Monterey,20011213,19964370,20302660,20934794
CA,Napa,7595001,7538681,7866894,8263763
CA,Nevada,3525492,3526934,3729800,3421642
CA,Orange,216205203,219574913,226451065,243513331
CA,Placer,15998697,16875788,17660160,18924445
CA,Plumas,699250,733450,654761,650139
CA,Riverside,61827909,64611066,65773194,67115211
CA,Sacramento,68329118,70547534,73016727,75231340
CA,San Benito,1611342,1633799,1666298,1779654
CA,San Bernardino,63540956,64867369,67110682,69415314
CA,San Diego,191216801,195614415,198127230,200816935
CA,San Francisco,119746763,126799443,134306675,143232623
CA,San Joaquin,21697175,22441453,23168104,24997915
CA,San Luis Obispo,12511046,13333995,13459659,14327180
CA,San Mateo,78166257,88815505,88822545,94144961
CA,Santa Barbara,21854525,22293846,22890895,23965152
CA,Santa Clara,195550832,211406180,229539584,254916308
CA,Santa Cruz,10606613,11205365,11506354,11736759
CA,Shasta,5844376,5889949,5894232,6063237
CA,Sierra,52185,47224,49120,49921
CA,Siskiyou,1077938,1113406,1181637,1268932
CA,Solano,20319752,20373391,20317810,19820267
CA,Sonoma,20941027,21556746,22243227,23644510
CA,Stanislaus,17039050,17315090,18078304,19106318
CA,Sutter,2792070,2857653,3038759,3145558
CA,Tehama,1301677,1386866,1441237,1509569
CA,Trinity,273210,274544,251388,242017
CA,Tulare,13225789,13314742,13800945,14799320
CA,Tuolumne,1726026,1788185,1698603,1805222
CA,Ventura,46895460,48323330,49269559,49958196
CA,Yolo,10117496,10598951,11230236,11869179
CA,Yuba,2319728,2360912,2302932,2241566
CO,Adams,18730462,18911550,20055577,20374110
CO,Alamosa,551564,560334,569016,609189
CO,Arapahoe,34198561,40115762,40137255,41775152
CO,Archuleta,349112,422129,367711,370091
CO,Baca,117957,109040,107708,114769
CO,Bent,103899,99743,100297,107657
CO,Boulder,21331648,19801366,21406141,22921428
CO,Broomfield,7021068,7539686,7238275,7633521
CO,Chaffee,418798,476388,485017,503353
CO,Cheyenne,87492,86740,91326,90639
CO,Clear Creek,427391,502332,535545,538926
CO,Conejos,110362,111071,113621,117507
CO,Costilla,88493,84103,85518,82170
CO,Crowley,113294,112483,118302,123537
CO,Custer,70597,74297,79235,82400
CO,Delta,743174,751526,796215,793902
CO,Denver,66577646,67299189,71956611,76612677
CO,Dolores,36521,40543,66028,65750
